## FIGURE 1: GEPA Optimization Trajectory
iteration,score,type
0,0.836,baseline
10,0.845,training
20,0.858,training
30,0.862,training
40,0.867,training
50,0.871,training
60,0.874,training
70,0.876,training
80,0.878,training
90,0.879,training
99,0.879,final

## FIGURE 2: Validation Scores Comparison
example,individual,pareto_front
1,0.88,0.93
2,0.89,0.89
3,0.92,0.93
4,0.85,0.88
5,0.82,0.93
6,0.91,0.93
7,0.88,0.90

## FIGURE 3: Stance Distribution
stance,count,percentage
pro_safety,4,33.3
moderate,4,33.3
pro_industry,2,16.7
accelerationist,1,8.3
doomer,1,8.3

## FIGURE 4: Response Length by Persona
persona,avg_words,stance
Dario Amodei,241,pro_safety
Sundar Pichai,241,pro_safety
Sam Altman,230,pro_safety
Demis Hassabis,230,pro_safety
Josh Hawley,204,moderate
Chuck Schumer,196,pro_industry
Mark Zuckerberg,192,pro_industry
Gina Raimondo,162,moderate
Xi Jinping,162,moderate
Jensen Huang,158,accelerationist
Elon Musk,152,doomer
Rishi Sunak,151,moderate

## FIGURE 5: Linguistic Markers Heatmap
persona,hedging,confidence,technical,political,emotional
Dario Amodei,11,1,40,1,3
Jensen Huang,0,1,20,5,1
Sam Altman,5,0,40,6,1
Sundar Pichai,8,0,34,3,0
Mark Zuckerberg,0,0,23,8,3
Demis Hassabis,6,0,40,0,4
Chuck Schumer,2,0,14,20,2
Josh Hawley,0,1,18,20,2
Gina Raimondo,0,0,14,5,0
Xi Jinping,0,0,9,5,0
Elon Musk,0,2,29,3,2
Rishi Sunak,0,0,17,3,3

## FIGURE 6: Model Provider Distribution
provider,count,percentage
Anthropic,8,66.7
X.AI,3,25.0
Google,1,8.3

## FIGURE 7: Response Length by Stance (Aggregated)
stance,avg_words,std_words,n
pro_safety,235,8,4
moderate,170,22,4
pro_industry,194,3,2
accelerationist,158,0,1
doomer,152,0,1
